
Cien. liet. ievadiet pirmo robežu : 0
Cien. liet. ievadiet otro robežu : 2
Cien. liet. ievadiet precizitātes vērtības iegūšanu  : 0.2
        x		       j0(x)		   j0’(x)		  ∆j0(x)		-j1’(x)
      0.00	      1.00	     -0.00	     -0.05	     -1.00
      0.20	      0.99	     -0.10	     -0.15	     -0.99
      0.40	      0.96	     -0.20	     -0.24	     -0.96
      0.60	      0.91	     -0.29	     -0.33	     -0.91
      0.80	      0.85	     -0.37	     -0.41	     -0.85
      1.00	      0.77	     -0.44	     -0.47	     -0.77
      1.20	      0.67	     -0.50	     -0.52	     -0.67
      1.40	      0.57	     -0.54	     -0.56	     -0.57
      1.60	      0.46	     -0.57	     -0.58	     -0.46
      1.80	      0.34	     -0.58	     -0.58	     -0.34
      2.00	      0.22	     -0.58	     -0.57	     -0.22
      2.20	      0.11	     -0.56	     -0.54	     -0.11
      2.40	      0.00	     -0.52	     -0.50	     -0.00
      2.60	     -0.10	     -0.47	     -0.44	      0.10
      2.80	     -0.19	     -0.41	     -0.38	      0.19
      3.00	     -0.26	     -0.34	     -0.30	      0.26
      3.20	     -0.32	     -0.26	     -0.22	      0.32
      3.40	     -0.36	     -0.18	     -0.14	      0.36
      3.60	     -0.39	     -0.10	     -0.05	      0.39
      3.80	     -0.40	     -0.01	      0.03	      0.40
      4.00	     -0.40	      0.07	      0.10	      0.40
      4.20	     -0.38	      0.14	      0.17	      0.38
      4.40	     -0.34	      0.20	      0.23	      0.34
      4.60	     -0.30	      0.26	      0.28	      0.30
      4.80	     -0.24	      0.30	      0.31	      0.24
      5.00	     -0.18	      0.33	      0.34	      0.18
      5.20	     -0.11	      0.34	      0.35	      0.11
      5.40	     -0.04	      0.35	      0.34	      0.04
      5.60	      0.03	      0.33	      0.32	     -0.03
      5.80	      0.09	      0.31	      0.29	     -0.09
      6.00	      0.15	      0.28	      0.26	     -0.15
      6.20	      0.20	      0.23	      0.21	     -0.20


